SC1.EMInert.X             SC1.EMInert.Y             SC1.EMInert.Z             SC1.UTCModJulian          
319483.7604810995         -160596.5092658399        -166167.0187632388        57727.00000008449         
319483.7605293822         -160596.5092039565        -166167.0187302162        57727.00000008565         
319483.7605776648         -160596.509142073         -166167.0186971937        57727.0000000868          
319483.7606259432         -160596.509080195         -166167.018664174         57727.00000008797         
319483.7606742259         -160596.5090183116        -166167.0186311515        57727.00000008912         
319483.7607225085         -160596.5089564282        -166167.0185981289        57727.00000009028         
319483.7607707912         -160596.5088945448        -166167.0185651064        57727.00000009144         
319483.7608190739         -160596.5088326613        -166167.0185320838        57727.00000009259         
319483.7608673566         -160596.5087707779        -166167.0184990613        57727.00000009375         
319483.7609156392         -160596.5087088945        -166167.0184660387        57727.00000009491         
319483.7609639218         -160596.5086470111        -166167.0184330162        57727.00000009606         
319483.7610122045         -160596.5085851277        -166167.0183999937        57727.00000009722         
319483.7610604872         -160596.5085232443        -166167.0183669711        57727.00000009838         
319483.7611087699         -160596.5084613608        -166167.0183339486        57727.00000009954         
319483.7611570525         -160596.5083994774        -166167.0183009261        57727.00000010069         
319483.7612053352         -160596.508337594         -166167.0182679035        57727.00000010185         
319483.7612536179         -160596.5082757106        -166167.018234881         57727.00000010301         
319483.7613018962         -160596.5082138325        -166167.0182018613        57727.00000010417         
319483.7613501789         -160596.5081519491        -166167.0181688387        57727.00000010533         
319483.7613984616         -160596.5080900657        -166167.0181358162        57727.00000010648         
319483.7614467443         -160596.5080281823        -166167.0181027936        57727.00000010764         
319483.7614950269         -160596.5079662989        -166167.0180697711        57727.0000001088          
319483.7615433095         -160596.5079044155        -166167.0180367485        57727.00000010995         
319483.7615915922         -160596.507842532         -166167.018003726         57727.00000011111         
319483.7616398749         -160596.5077806486        -166167.0179707035        57727.00000011227         
319483.7616881576         -160596.5077187652        -166167.0179376809        57727.00000011342         
319483.7617364402         -160596.5076568818        -166167.0179046584        57727.00000011458         
319483.7617847229         -160596.5075949984        -166167.0178716358        57727.00000011574         
319483.7618330056         -160596.507533115         -166167.0178386133        57727.0000001169          
319483.7618812882         -160596.5074712315        -166167.0178055908        57727.00000011805         
319483.7619295666         -160596.5074093535        -166167.0177725711        57727.00000011922         
319483.7619778493         -160596.5073474701        -166167.0177395485        57727.00000012037         
319483.762026132          -160596.5072855866        -166167.017706526         57727.00000012153         
319483.7620744146         -160596.5072237032        -166167.0176735034        57727.00000012269         
