DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-5880.114737940145        1150341.804542184         -499032.3633572294        57730.89398156325         
-5893.3014670344          1158910.507870137         -502761.8191009139        57730.92523156325         
-5906.479069813962        1167477.525111906         -506490.5425766673        57730.95648156325         
-5919.647663714002        1176042.880914597         -510218.5444587908        57730.98773156325         
-5932.807363841936        1184606.599383707         -513945.8351873482        57731.01898156325         
-5945.958283021201        1193168.704098927         -517672.4249750267        57731.05023156325         
-5959.100531850041        1201729.218129446         -521398.3238137419        57731.08148156325         
-5972.234218759668        1210288.164048695         -525123.5414810029        57731.11273156325         
-5985.359450052454        1218845.563948498         -528848.0875460557        57731.14398156325         
-5998.476329956688        1227401.439452783         -532571.9713757987        57731.17523156325         
-6011.584960680822        1235955.811730801         -536295.2021404906        57731.20648156325         
-6024.685442446586        1244508.701509826         -540017.788819263         57731.23773156325         
-6037.777873540128        1253060.129087464         -543739.7402054319        57731.26898156325         
-6050.862350362809        1261610.114343539         -547461.0649116297        57731.30023156325         
-6063.93896745962         1270158.676751513         -551181.7713747611        57731.33148156325         
-6077.007817567135        1278705.835389567         -554901.8678607865        57731.36273156325         
-6090.068991661205        1287251.60895131          -558621.3624693427        57731.39398156325         
-6103.122578981084        1295796.015756071         -562340.263138212         57731.42523156325         
-6116.168667074508        1304339.073758896         -566058.577647638         57731.45648156325         
-6129.207341842659        1312880.800560221         -569776.3136244953        57731.48773156325         
-6142.238687560298        1321421.213415162         -573493.4785463278        57731.51898156325         
-6155.262786921112        1329960.329242566         -577210.0797452499        57731.55023156325         
-6168.27972106625         1338498.164633728         -580926.1244117224        57731.58148156325         
-6181.289569628725        1347034.735860867         -584641.6195982024        57731.61273156325         
-6194.292410748698        1355570.058885256         -588356.5722226814        57731.64398156325         
-6207.288321113069        1364104.149365163         -592070.9890721072        57731.67523156325         
-6220.277375995148        1372637.022663529         -595784.8768056942        57731.70648156325         
-6233.259649266592        1381168.69385535          -599498.2419581364        57731.73773156325         
-6246.235213435068        1389699.177734885         -603211.0909427135        57731.76898156325         
-6259.20413968206         1398228.488822644         -606923.430054301         57731.80023156325         
-6272.166497871694        1406756.641372087         -610635.2654722901        57731.83148156325         
-6285.12235658669         1415283.649376197         -614346.6032634167        57731.86273156325         
-6298.071783164497        1423809.526573831         -618057.4493844988        57731.89398156325         
-6311.01484370323         1432334.286455834         -621767.809685101         57731.92523156325         
-6323.951603096091        1440857.94227102          -625477.6899101089        57731.95648156325         
