Luna.EMBaryRot.X          Luna.EMBaryRot.Y          Luna.EMBaryRot.Z          Luna.UTCModJulian         
397113.7331191428         -13971.90155751405        -3.637978807091713e-12    57730.92522982787         
397021.8162331995         -14130.21397253367        0                         57730.95647982787         
396928.8246740664         -14288.27733176944        7.275957614183426e-12     57730.98772982787         
396834.7586292512         -14446.07634211533        -7.275957614183426e-12    57731.01897982787         
396739.6183672352         -14603.59564104839        0                         57731.05022982787         
396643.4042381998         -14760.81979867222        0                         57731.08147982787         
396546.116674751          -14917.73331978369        7.275957614183426e-12     57731.11272982787         
396447.7561924384         -15074.32064629149        7.275957614183426e-12     57731.14397982787         
396348.3233904709         -15230.56615932673        7.275957614183426e-12     57731.17522982787         
396247.8189524309         -15386.45418137628        7.275957614183426e-12     57731.20647982787         
396146.243646778          -15541.96897876424        0                         57731.23772982787         
396043.598327552          -15697.09476382626        0                         57731.26897982787         
395939.8839350786         -15851.81569710556        7.275957614183426e-12     57731.30022982787         
395835.1014964528         -16006.11588989326        0                         57731.33147982787         
395729.2521262328         -16159.97940646255        7.275957614183426e-12     57731.36272982787         
395622.3370271329         -16313.39026632319        -7.275957614183426e-12    57731.39397982787         
395514.3574904888         -16466.33244681688        0                         57731.42522982787         
395405.3148969386         -16618.78988540642        7.275957614183426e-12     57731.45647982787         
395295.2107171041         -16770.74648198564        -7.275957614183426e-12    57731.48772982787         
395184.0465120363         -16922.18610152362        0                         57731.51897982787         
395071.8239339097         -17073.09257637136        1.455191522836685e-11     57731.55022982787         
394958.5447265586         -17223.44970879625        0                         57731.58147982787         
394844.2107261653         -17373.2412733215         7.275957614183426e-12     57731.61272982787         
394728.8238616786         -17522.45101943084        0                         57731.64397982787         
394612.386155463          -17671.06267397053        0                         57731.67522982787         
394494.8997239473         -17819.0599435692         -7.275957614183426e-12    57731.70647982787         
394376.3667780214         -17966.42651738039        0                         57731.73772982787         
394256.7896236703         -18113.14606952629        -1.455191522836685e-11    57731.76897982787         
394136.1706626071         -18259.20226155572        7.275957614183426e-12     57731.80022982787         
394014.5123926469         -18404.57874522112        -7.275957614183426e-12    57731.83147982787         
393891.8174083262         -18549.25916495774        -7.275957614183426e-12    57731.86272982787         
393768.0884015169         -18693.22716037632        0                         57731.89397982787         
393643.3281617794         -18836.46636906825        -7.275957614183426e-12    57731.92522982787         
393517.5395769624         -18978.96042911552        0                         57731.95647982787         
393390.7256338015         -19120.69298161316        -2.91038304567337e-11     57731.98772982787         
393262.8894182458         -19261.64767349714        0                         57732.01897982787         
393134.0341160409         -19401.80816008001        0                         57732.05022982787         
393004.1630133082         -19541.15810759804        1.455191522836685e-11     57732.08147982787         
392873.2794968465         -19679.68119605613        0                         57732.11272982787         
392741.3870546952         -19817.36112178473        1.455191522836685e-11     57732.14397982787         
392608.4892766936         -19954.18160000534        1.455191522836685e-11     57732.17522982787         
392474.5898547565         -20090.12636768772        -2.91038304567337e-11     57732.20647982787         
392339.6925834482         -20225.17918609136        1.455191522836685e-11     57732.23772982787         
392203.8013603633         -20359.32384350041        0                         57732.26897982787         
392066.9201866899         -20492.54415777508        1.455191522836685e-11     57732.30022982787         
391929.0531674467         -20624.82397921613        0                         57732.33147982787         
391790.2045119972         -20756.14719314936        -1.455191522836685e-11    57732.36272982787         
391650.3785345579         -20886.49772251491        0                         57732.39397982787         
391509.5796544076         -21015.85953073108        0                         57732.42522982787         
391367.8123963769         -21144.21662428178        0                         57732.45647982787         
391225.0813913342         -21271.55305530682        0                         57732.48772982787         
391081.3913763622         -21397.85292474387        1.455191522836685e-11     57732.51897982787         
390936.7471952245         -21523.10038385153        1.455191522836685e-11     57732.55022982787         
390791.1537988291         -21647.2796379309         0                         57732.58147982787         
390644.6162453717         -21770.3749490301         0                         57732.61272982787         
390497.139700774          -21892.37063825911        0                         57732.64397982787         
390348.7294391185         -22013.25108837456        0                         57732.67522982787         
390199.3908427623         -22133.00074661116        2.91038304567337e-11      57732.70647982787         
390049.1294027839         -22251.6041272218         0                         57732.73772982787         
389897.9507192144         -22369.04581418028        -1.455191522836685e-11    57732.76897982787         
389745.8605014673         -22485.31046371037        1.455191522836685e-11     57732.80022982787         
389592.8645684075         -22600.3828070802         1.455191522836685e-11     57732.83147982787         
389438.968848724          -22714.24765314022        -1.455191522836685e-11    57732.86272982787         
389284.1793812962         -22826.88989085612        -1.455191522836685e-11    57732.89397982787         
389128.5023152271         -22938.29449207033        -1.455191522836685e-11    57732.92522982787         
388971.9439101843         -23048.44651401162        -2.91038304567337e-11     57732.95647982787         
388814.5105367365         -23157.33110180035        1.455191522836685e-11     57732.98772982787         
388656.208676347          -23264.93349117065        1.455191522836685e-11     57733.01897982787         
388497.0449216852         -23371.239010949          -1.455191522836685e-11    57733.05022982787         
388337.0259769281         -23476.23308552514        -1.455191522836685e-11    57733.08147982787         
388176.1586577162         -23579.9012375316         -1.455191522836685e-11    57733.11272982787         
388014.4498914685         -23682.22909026134        0                         57733.14397982787         
387851.9067174608         -23783.20237021916        -1.455191522836685e-11    57733.17522982787         
387688.5362871195         -23882.80690951578        0                         57733.20647982787         
387524.3458639231         -23981.02864848184        0                         57733.23772982787         
387359.3428236315         -24077.85363805257        0                         57733.26897982787         
387193.5346545054         -24173.26804214205        0                         57733.30022982787         
387026.928957166          -24267.25814020199        0                         57733.33147982787         
386859.5334447863         -24359.81032955801        0                         57733.36272982787         
386691.3559432722         -24450.91112773488        1.455191522836685e-11     57733.39397982787         
386522.4043910793         -24540.54717495434        0                         57733.42522982787         
386352.6868394034         -24628.70523639906        1.455191522836685e-11     57733.45647982787         
386182.2114521248         -24715.37220458452        -1.455191522836685e-11    57733.48772982787         
386010.9865059742         -24800.53510158887        1.455191522836685e-11     57733.51897982787         
385839.0203902885         -24884.18108146368        0                         57733.55022982787         
385666.3216071076         -24966.29743243993        0                         57733.58147982787         
385492.8987712596         -25046.87157911894        0                         57733.61272982787         
385318.7606100689         -25125.89108481172        0                         57733.64397982787         
385143.9159634094         -25203.34365368188        0                         57733.67522982787         
384968.3737837464         -25279.21713287166        0                         57733.70647982787         
384792.1431357948         -25353.49951476516        -1.455191522836685e-11    57733.73772982787         
384615.2331965696         -25426.17893904729        1.455191522836685e-11     57733.76897982787         
384437.6532551742         -25497.24369484453        -1.455191522836685e-11    57733.80022982787         
384259.4127128217         -25566.68222274094        -1.455191522836685e-11    57733.83147982787         
384080.5210824254         -25634.48311693352        -1.455191522836685e-11    57733.86272982787         
383900.9879885447         -25700.63512721132        -1.455191522836685e-11    57733.89397982787         
383720.8231673164         -25765.12716091511        -1.455191522836685e-11    57733.92522982787         
383540.0364659927         -25827.94828500719        -1.455191522836685e-11    57733.95647982787         
383358.6378428373         -25889.08772797421        0                         57733.98772982787         
383176.6373670074         -25948.53488170879        -1.455191522836685e-11    57734.01897982787         
382994.0452180366         -26006.27930349059        1.455191522836685e-11     57734.05022982787         
382810.8716857232         -26062.31071779581        1.455191522836685e-11     57734.08147982787         
382627.1271697457         -26116.61901816231        1.455191522836685e-11     57734.11272982787         
382442.8221795178         -26169.19426894953        -2.91038304567337e-11     57734.14397982787         
382257.9673335961         -26220.02670719392        2.91038304567337e-11      57734.17522982787         
382072.5733594542         -26269.10674432036        -1.455191522836685e-11    57734.20647982787         
381886.6510932402         -26316.42496783024        -1.455191522836685e-11    57734.23772982787         
381700.2114791271         -26361.97214306038        0                         57734.26897982787         
381513.265569074          -26405.7392147971         1.455191522836685e-11     57734.30022982787         
381325.8245223112         -26447.71730892593        -1.455191522836685e-11    57734.33147982787         
381137.899605064          -26487.89773399129        -1.455191522836685e-11    57734.36272982787         
380949.5021898238         -26526.27198282132        -1.455191522836685e-11    57734.39397982787         
380760.6437549892         -26562.83173403126        1.455191522836685e-11     57734.42522982787         
380571.3358844897         -26597.56885350244        1.455191522836685e-11     57734.45647982787         
380381.590266994          -26630.475395904          1.455191522836685e-11     57734.48772982787         
380191.4186954917         -26661.54360610322        0                         57734.51897982787         
380000.8330668567         -26690.76592055095        2.91038304567337e-11      57734.55022982787         
379809.8453809916         -26718.13496869705        0                         57734.58147982787         
379618.4677403929         -26743.6435743006         0                         57734.61272982787         
379426.7123494297         -26767.28475674765        0                         57734.64397982787         
379234.5915138684         -26789.0517323021         2.91038304567337e-11      57734.67522982787         
379042.1176399298         -26808.93791537707        0                         57734.70647982787         
378849.3032337247         -26826.93691972036        0                         57734.73772982787         
378656.1609006717         -26843.04255957454        0                         57734.76897982787         
378462.7033444854         -26857.24885083755        -2.91038304567337e-11     57734.80022982787         
378268.9433665939         -26869.5500121474         -2.91038304567337e-11     57734.83147982787         
378074.8938652633         -26879.94046595521        2.91038304567337e-11      57734.86272982787         
377880.5678349701         -26888.41483954855        -2.91038304567337e-11     57734.89397982787         
377685.9783653004         -26894.96796606291        2.91038304567337e-11      57734.92522982787         
377491.1386402314         -26899.59488543514        0                         57734.95647982787         
377296.0619373918         -26902.29084532918        2.91038304567337e-11      57734.98772982787         
377100.7616268903         -26903.05130203496        0                         57735.01897982787         
376905.2511705741         -26901.8719213204         -2.91038304567337e-11     57735.05022982787         
376709.5441209929         -26898.74857925335        0                         57735.08147982787         
376513.6541206108         -26893.67736299121        -2.91038304567337e-11     57735.11272982787         
376317.5949005401         -26886.65457152736        0                         57735.14397982787         
376121.3802796615         -26877.67671640648        2.91038304567337e-11      57735.17522982787         
375925.0241637197         -26866.74052241264        2.91038304567337e-11      57735.20647982787         
375728.5405439852         -26853.84292820108        2.91038304567337e-11      57735.23772982787         
375531.9434963476         -26838.98108691448        0                         57735.26897982787         
375335.2471801112         -26822.15236675037        0                         57735.30022982787         
375138.4658370406         -26803.35435151437        0                         57735.33147982787         
374941.6137899241         -26782.58484109856        -2.91038304567337e-11     57735.36272982787         
374744.7054415243         -26759.84185195761        0                         57735.39397982787         
374547.7552735048         -26735.12361755743        0                         57735.42522982787         
374350.7778449194         -26708.42858873854        2.91038304567337e-11      57735.45647982787         
374153.7877911341         -26679.75543409659        0                         57735.48772982787         
373956.7998224513         -26649.10304029428        0                         57735.51897982787         
373759.8287229818         -26616.47051237924        0                         57735.55022982787         
373562.8893490346         -26581.85717399482        2.91038304567337e-11      57735.58147982787         
373365.9966279405         -26545.26256762679        0                         57735.61272982787         
373169.1655565742         -26506.68645477015        0                         57735.64397982787         
372972.4112001277         -26466.1288161139         -2.91038304567337e-11     57735.67522982787         
372775.7486903999         -26423.58985160042        0                         57735.70647982787         
372579.1932244725         -26379.06998052849        0                         57735.73772982787         
372382.7600633627         -26332.56984163004        0                         57735.76897982787         
372186.4645302365         -26284.09029301715        2.91038304567337e-11      57735.80022982787         
371990.3220090559         -26233.63241219707        0                         57735.83147982787         
371794.3479429266         -26181.19749599006        -2.91038304567337e-11     57735.86272982787         
371598.5578326933         -26126.78706048419        0                         57735.89397982787         
371402.9672350551         -26070.40284083389        0                         57735.92522982787         
371207.591761111          -26012.04679114608        0                         57735.95647982787         
